"match_id","team1","team2","start_date","venue","city","toss_winner","toss_decision","winner","innings_1_total","innings_2_total","daily_temperature_2m_mean","daily_relative_humidity_2m_mean","daily_rain_sum","daily_cloud_cover_mean","daily_sunset","innings_1_over_2_score","innings_1_over_4_score","innings_1_over_6_score","innings_1_over_8_score","innings_1_over_10_score","innings_1_over_12_score","innings_1_over_14_score","innings_1_over_16_score","innings_1_over_18_score","innings_1_over_20_score","innings_2_over_2_score","innings_2_over_4_score","innings_2_over_6_score","innings_2_over_8_score","innings_2_over_10_score","innings_2_over_12_score","innings_2_over_14_score","innings_2_over_16_score","innings_2_over_18_score","innings_2_over_20_score","innings_1_over_2_wickets","innings_1_over_4_wickets","innings_1_over_6_wickets","innings_1_over_8_wickets","innings_1_over_10_wickets","innings_1_over_12_wickets","innings_1_over_14_wickets","innings_1_over_16_wickets","innings_1_over_18_wickets","innings_1_over_20_wickets","innings_2_over_2_wickets","innings_2_over_4_wickets","innings_2_over_6_wickets","innings_2_over_8_wickets","innings_2_over_10_wickets","innings_2_over_12_wickets","innings_2_over_14_wickets","innings_2_over_16_wickets","innings_2_over_18_wickets","innings_2_over_20_wickets","team_1_win"
"306991","Kenya","Pakistan",2007-09-04,"Gymkhana Club Ground","Nairobi","Kenya","bat","Pakistan",92,93,17.9,64,0.4,90,"2007-09-04T18:34",5,11,31,39,44,47,55,59,77,92,15,26,34,57,71,79,93,NA,NA,NA,1,2,2,4,5,5,6,7,9,10,0,1,1,1,1,2,2,NA,NA,NA,FALSE
"287853","South Africa","West Indies",2007-09-11,"New Wanderers Stadium","Johannesburg","South Africa","field","South Africa",205,208,19.3,28,0,1,"2007-09-11T17:59",14,42,54,78,109,131,151,177,184,205,8,36,59,87,106,120,148,180,208,NA,0,0,0,0,0,0,1,2,4,6,0,0,1,1,2,2,2,2,2,NA,TRUE
"287856","Australia","Zimbabwe",2007-09-12,"Newlands","Cape Town","Australia","bat","Zimbabwe",138,139,14.1,72,1.3,41,"2007-09-12T18:35",11,19,22,37,51,69,87,101,119,138,13,31,47,55,66,75,87,110,121,139,1,3,3,3,4,4,5,5,6,9,0,1,1,3,3,4,4,4,4,5,FALSE
"287855","Pakistan","Scotland",2007-09-12,"Kingsmead","Durban","Scotland","field","Pakistan",171,120,20.5,74,0,27,"2007-09-12T17:46",9,14,38,50,67,81,114,124,146,171,9,29,40,54,70,80,91,99,111,120,0,1,2,3,3,3,5,6,7,9,1,1,2,4,6,7,7,7,9,10,TRUE
"287854","Kenya","New Zealand",2007-09-12,"Kingsmead","Durban","New Zealand","field","New Zealand",73,74,20.5,74,0,27,"2007-09-12T17:46",1,5,23,37,38,42,51,70,NA,NA,17,36,49,74,NA,NA,NA,NA,NA,NA,4,4,4,4,5,7,8,8,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,FALSE
"287857","Bangladesh","West Indies",2007-09-13,"New Wanderers Stadium","Johannesburg","Bangladesh","field","Bangladesh",164,165,20.9,22,0,0,"2007-09-13T18:00",12,24,33,53,69,89,96,106,131,164,4,28,61,77,100,122,136,157,165,NA,1,1,1,1,1,1,2,3,5,8,1,2,2,2,2,2,2,3,4,NA,TRUE
"287858","England","Zimbabwe",2007-09-13,"Newlands","Cape Town","England","bat","England",188,138,12.4,62,0.3,39,"2007-09-13T18:35",16,28,59,75,93,113,145,159,172,188,22,33,57,67,80,84,90,107,128,138,0,2,3,3,3,3,3,5,6,9,0,0,0,0,1,2,5,6,6,7,TRUE
"287861","Australia","England",2007-09-14,"Newlands","Cape Town","England","bat","Australia",135,136,12.5,66,0.2,46,"2007-09-14T18:36",12,25,35,49,64,86,100,119,129,135,12,28,61,78,94,104,122,NA,NA,NA,0,0,1,3,3,4,5,5,7,10,0,0,0,0,1,1,2,NA,NA,NA,TRUE
"287862","India","Pakistan",2007-09-14,"Kingsmead","Durban","Pakistan","field",NA,141,141,17.1,81,6.4,90,"2007-09-14T17:47",9,19,33,44,64,82,90,111,128,141,12,29,39,47,53,69,80,93,113,141,1,2,3,4,4,4,5,6,7,9,0,1,1,2,4,4,4,5,6,7,NA
"287860","Kenya","Sri Lanka",2007-09-14,"New Wanderers Stadium","Johannesburg","Kenya","field","Sri Lanka",260,88,19.2,33,0,12,"2007-09-14T18:00",13,34,53,74,101,131,175,194,215,260,17,24,35,39,47,54,64,76,82,88,0,1,1,1,2,2,2,4,6,6,1,2,2,2,3,5,5,6,7,9,FALSE
