"match_id","balls_per_over","team1","team2","gender","season","date","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","tv_umpire","match_referee","winner","winner_runs","winner_wickets","outcome","bowl_out","reserve_umpire","event","match_number","method","eliminator","toss_uncontested"
"1233980","6","New Zealand","Bangladesh","male","2020/21","2021/03/30","McLean Park","Napier","Bangladesh","field","GD Phillips","CM Brown","WR Knights","CB Gaffaney","JJ Crowe","New Zealand","28",NA,NA,NA,"SB Haig","Bangladesh tour of New Zealand","2","D/L",NA,NA
"1233981","6","New Zealand","Bangladesh","male","2020/21","2021/04/01","Eden Park","Auckland","Bangladesh","field","FH Allen","CM Brown","CB Gaffaney","WR Knights","JJ Crowe","New Zealand","65",NA,NA,NA,"A Mehrotra","Bangladesh tour of New Zealand","3",NA,NA,NA
"1257404","6","Uganda","Namibia","male","2021","2021/04/03","Wanderers","Windhoek","Uganda","bat","MG Erasmus","A Louw","C Thorburn",NA,NA,"Namibia",NA,"7",NA,NA,NA,"Uganda tour of Namibia","1",NA,NA,NA
"1257405","6","Namibia","Uganda","male","2021","2021/04/05","Wanderers Cricket Ground, Windhoek","Windhoek","Namibia","bat","JJ Smit","Claus Schumacher","Marthinus Louw",NA,NA,"Namibia","20",NA,NA,NA,"A Louw","Uganda tour of Namibia","2","D/L",NA,NA
"1257406","6","Namibia","Uganda","male","2021","2021/04/05","Wanderers Cricket Ground, Windhoek","Windhoek","Namibia","bat","CG Williams","A Louw","Claus Schumacher",NA,NA,"Namibia","65",NA,NA,NA,"Marthinus Louw","Uganda tour of Namibia","3",NA,NA,NA
"1251575","6","South Africa","Pakistan","male","2021","2021/04/10","The Wanderers Stadium, Johannesburg","Johannesburg","South Africa","bat","Mohammad Rizwan","AT Holdstock","A Paleker","BP Jele","AJ Pycroft","Pakistan",NA,"4",NA,NA,"S George","Pakistan tour of South Africa","1",NA,NA,NA
"1251576","6","Pakistan","South Africa","male","2021","2021/04/12","The Wanderers Stadium, Johannesburg","Johannesburg","Pakistan","bat","GF Linde","AT Holdstock","BP Jele","S George","AJ Pycroft","South Africa",NA,"6",NA,NA,"A Paleker","Pakistan tour of South Africa","2",NA,NA,NA
"1251577","6","South Africa","Pakistan","male","2021","2021/04/14","SuperSport Park, Centurion","Centurion","Pakistan","field","Babar Azam","A Paleker","BP Jele","AT Holdstock","AJ Pycroft","Pakistan",NA,"9",NA,NA,"S George","Pakistan tour of South Africa","3",NA,NA,NA
"1251578","6","South Africa","Pakistan","male","2021","2021/04/16","SuperSport Park, Centurion","Centurion","Pakistan","field","Faheem Ashraf","AT Holdstock","S George","A Paleker","AJ Pycroft","Pakistan",NA,"3",NA,NA,"BP Jele","Pakistan tour of South Africa","4",NA,NA,NA
"1257945","6","Netherlands","Nepal","male","2021","2021/04/17","Tribhuvan University International Cricket Ground, Kirtipur","Kirtipur","Nepal","field","K Bhurtel","BB Pradhan","DN Subedi","VK Jha","WC Labrooy","Nepal",NA,"9",NA,NA,"Sanjay Gurung","Nepal Tri-Nation T20I Series","1",NA,NA,NA
"1257946","6","Netherlands","Malaysia","male","2021","2021/04/18","Tribhuvan University International Cricket Ground, Kirtipur","Kirtipur","Netherlands","bat","MP O'Dowd","HR Giri","VK Jha","BB Pradhan","WC Labrooy","Netherlands","15",NA,NA,NA,"DN Subedi","Nepal Tri-Nation T20I Series","2",NA,NA,NA
"1257947","6","Malaysia","Nepal","male","2021","2021/04/19","Tribhuvan University International Cricket Ground, Kirtipur","Kirtipur","Nepal","field","Karan KC","DN Subedi","Sanjay Gurung","BB Pradhan","WC Labrooy","Nepal",NA,"9",NA,NA,"HR Giri","Nepal Tri-Nation T20I Series","3",NA,NA,NA
"1257948","6","Nepal","Netherlands","male","2021","2021/04/20","Tribhuvan University International Cricket Ground, Kirtipur","Kirtipur","Nepal","bat","BFW de Leede","BB Pradhan","VK Jha","DN Subedi","WC Labrooy","Netherlands",NA,"3",NA,NA,"Sanjay Gurung","Nepal Tri-Nation T20I Series","4",NA,NA,NA
"1257183","6","Pakistan","Zimbabwe","male","2021","2021/04/21","Harare Sports Club","Harare","Zimbabwe","field","Mohammad Rizwan","I Chabi","L Rusere","C Phiri","AJ Pycroft","Pakistan","11",NA,NA,NA,"F Mutizwa","Pakistan tour of Zimbabwe","1",NA,NA,NA
"1257949","6","Netherlands","Malaysia","male","2021","2021/04/21","Tribhuvan University International Cricket Ground, Kirtipur","Kirtipur","Malaysia","field","TS Braat","DN Subedi","Sanjay Gurung","VK Jha","WC Labrooy",NA,NA,NA,"tie",NA,"HR Giri","Nepal Tri-Nation T20I Series","5","D/L",NA,NA
"1257184","6","Zimbabwe","Pakistan","male","2021","2021/04/23","Harare Sports Club","Harare","Pakistan","field","LM Jongwe","I Chabi","L Rusere","F Mutizwa","AJ Pycroft","Zimbabwe","19",NA,NA,NA,"C Phiri","Pakistan tour of Zimbabwe","2",NA,NA,NA
"1257950","6","Nepal","Malaysia","male","2021","2021/04/22","Tribhuvan University International Cricket Ground, Kirtipur","Kirtipur","Malaysia","field","Sompal Kami","BB Pradhan","VK Jha","Sanjay Gurung","WC Labrooy","Nepal","69",NA,NA,NA,"HR Giri","Nepal Tri-Nation T20I Series","6",NA,NA,NA
"1257951","6","Nepal","Netherlands","male","2021","2021/04/24","Tribhuvan University International Cricket Ground, Kirtipur","Kirtipur","Netherlands","field","Karan KC","BB Pradhan","DN Subedi","VK Jha","WC Labrooy","Nepal","142",NA,NA,NA,"Sanjay Gurung","Nepal Tri-Nation T20I Series",NA,NA,NA,NA
"1257185","6","Pakistan","Zimbabwe","male","2021","2021/04/25","Harare Sports Club","Harare","Pakistan","bat","Hasan Ali","I Chabi","L Rusere","C Phiri","AJ Pycroft","Pakistan","24",NA,NA,NA,"F Mutizwa","Pakistan tour of Zimbabwe","3",NA,NA,NA
"1263708","6","Luxembourg","Czech Republic","male","2021","2021/05/21","Scott Page Field, Vinor","Prague","Czech Republic","field",NA,"P Vincent","S Tripp",NA,NA,"Czech Republic",NA,"9",NA,NA,"J Foster","Central Europe Cup","1",NA,NA,NA
"1263710","6","Austria","Czech Republic","male","2021","2021/05/22","Scott Page Field, Vinor","Prague","Czech Republic","field",NA,"J Foster","S Tripp",NA,NA,"Austria","78",NA,NA,NA,"P Vincent","Central Europe Cup","3",NA,NA,NA
"1263711","6","Czech Republic","Luxembourg","male","2021","2021/05/22","Scott Page Field, Vinor","Prague","Luxembourg","field",NA,"P Vincent","S Tripp",NA,NA,"Luxembourg",NA,"6",NA,NA,"J Foster","Central Europe Cup","4",NA,NA,NA
"1263712","6","Austria","Luxembourg","male","2021","2021/05/23","Scott Page Field, Vinor","Prague","Austria","bat",NA,"J Foster","S Tripp",NA,NA,"Luxembourg",NA,"5",NA,NA,"P Vincent","Central Europe Cup","5",NA,NA,NA
"1263713","6","Czech Republic","Austria","male","2021","2021/05/23","Scott Page Field, Vinor","Prague","Czech Republic","bat",NA,"J Foster","S Tripp",NA,NA,"Austria",NA,"4",NA,NA,"P Vincent","Central Europe Cup","6","D/L",NA,NA
"1249206","6","Sri Lanka","England","male","2021","2021/06/23","Sophia Gardens, Cardiff","Cardiff","Sri Lanka","bat","JC Buttler","DJ Millns","MJ Saggers","M Burns","Phil Whitticase","England",NA,"8",NA,NA,"S Redfern","Sri Lanka tour of England","1",NA,NA,NA
"1267304","6","Greece","Romania","male","2021","2021/06/24","National Sports Academy, Sofia","Sofia","Greece","bat","R Satheesan",NA,NA,NA,NA,"Romania",NA,"3",NA,NA,NA,"Sofia Twenty20","2",NA,NA,NA
"1267307","6","Bulgaria","Romania","male","2021","2021/06/25","National Sports Academy, Sofia","Sofia","Bulgaria","bat","Taranjeet Singh",NA,NA,NA,NA,"Romania",NA,"7",NA,NA,NA,"Sofia Twenty20","4",NA,NA,NA
"1267308","6","Romania","Serbia","male","2021","2021/06/25","National Sports Academy, Sofia","Sofia","Romania","bat","S Thakur",NA,NA,NA,NA,"Romania","91",NA,NA,NA,NA,"Sofia Twenty20","5",NA,NA,NA
"1263154","6","West Indies","South Africa","male","2021","2021/07/01","National Cricket Stadium, St George's, Grenada","St George's","South Africa","field","KA Pollard","LS Reifer","PA Gustard","GO Brathwaite","RB Richardson","West Indies","21",NA,NA,NA,"JS Wilson","South Africa tour of West Indies","4",NA,NA,NA
"1263155","6","South Africa","West Indies","male","2021","2021/07/03","National Cricket Stadium, St George's, Grenada","St George's","South Africa","bat","AK Markram","GO Brathwaite","JS Wilson","LS Reifer","RB Richardson","South Africa","25",NA,NA,NA,"N Duguid","South Africa tour of West Indies","5",NA,NA,NA
"1268192","6","Belgium","Malta","male","2021","2021/07/10","Marsa Sports Club","Marsa","Belgium","bat",NA,NA,NA,NA,NA,"Belgium","39",NA,NA,NA,NA,"Belgium tour of Malta","5",NA,NA,NA
"1263159","6","Australia","West Indies","male","2021","2021/07/14","Daren Sammy National Cricket Stadium, Gros Islet, St Lucia","Gros Islet","Australia","bat","MR Marsh","GO Brathwaite","PA Gustard","JS Wilson","RB Richardson","Australia","4",NA,NA,NA,"N Duguid","Australia tour of West Indies","4",NA,NA,NA
"1251953","6","South Africa","Ireland","male","2021","2021/07/19","The Village, Malahide, Dublin","Dublin","Ireland","field","T Shamsi","AJ Neill","M Hawthorne","PA Reynolds","K Gallagher","South Africa","33",NA,NA,NA,"R Black","South Africa tour of Ireland","1",NA,NA,NA
"1251954","6","South Africa","Ireland","male","2021","2021/07/22","Civil Service Cricket Club, Stormont, Belfast","Belfast","South Africa","bat","DA Miller","PA Reynolds","R Black","AJ Neill","K Gallagher","South Africa","42",NA,NA,NA,"M Hawthorne","South Africa tour of Ireland","2",NA,NA,NA
"1262758","6","India","Sri Lanka","male","2021","2021/07/25","R Premadasa Stadium, Colombo","Colombo","Sri Lanka","field","B Kumar","HDPK Dharmasena","RR Wimalasiri","RSA Palliyaguruge","RS Madugalle","India","38",NA,NA,NA,"LE Hannibal","India tour of Sri Lanka","1",NA,NA,NA
"1267682","6","Zimbabwe","Bangladesh","male","2021","2021/07/25","Harare Sports Club","Harare","Zimbabwe","bat","Soumya Sarkar","I Chabi","L Rusere","F Mutizwa","AJ Pycroft","Bangladesh",NA,"5",NA,NA,"C Phiri","Bangladesh tour of Zimbabwe","3",NA,NA,NA
"1263164","6","West Indies","Pakistan","male","2021","2021/07/28","Kensington Oval, Bridgetown, Barbados","Bridgetown","Pakistan","field",NA,"GO Brathwaite","N Duguid","PA Gustard","RB Richardson",NA,NA,NA,"no result",NA,"LS Reifer","Pakistan tour of West Indies","1",NA,NA,NA
"1262760","6","India","Sri Lanka","male","2021","2021/07/29","R Premadasa Stadium, Colombo","Colombo","India","bat","PWH de Silva","HDPK Dharmasena","RSA Palliyaguruge","LE Hannibal","RS Madugalle","Sri Lanka",NA,"7",NA,NA,"RMPJ Rambukwella","India tour of Sri Lanka","3",NA,NA,NA
"1263166","6","West Indies","Pakistan","male","2021","2021/08/01","Providence Stadium, Guyana","Providence","West Indies","bat",NA,"GO Brathwaite","JS Wilson","LS Reifer","RB Richardson",NA,NA,NA,"no result",NA,"PA Gustard","Pakistan tour of West Indies","3",NA,NA,NA
"1263167","6","West Indies","Pakistan","male","2021","2021/08/03","Providence Stadium, Guyana","Providence","Pakistan","field",NA,"LS Reifer","PA Gustard","GO Brathwaite","RB Richardson",NA,NA,NA,"no result",NA,"N Duguid","Pakistan tour of West Indies","4",NA,NA,NA
"1270834","6","Bangladesh","Australia","male","2021","2021/08/03","Shere Bangla National Stadium, Mirpur","Dhaka","Australia","field","Nasum Ahmed","Masudur Rahman","Sharfuddoula","Gazi Sohel","Neeyamur Rashid","Bangladesh","23",NA,NA,NA,"Tanvir Ahmed","Australia tour of Bangladesh","1",NA,NA,NA
"1270835","6","Australia","Bangladesh","male","2021","2021/08/04","Shere Bangla National Stadium, Mirpur","Dhaka","Australia","bat","Afif Hossain","Masudur Rahman","Tanvir Ahmed","Sharfuddoula","Neeyamur Rashid","Bangladesh",NA,"5",NA,NA,"Gazi Sohel","Australia tour of Bangladesh","2",NA,NA,NA
"1273136","6","Gibraltar","Malta","male","2021","2021/08/20","Gucherre Cricket Ground","Albergaria","Malta","field","Washeem Abbas",NA,NA,NA,NA,"Malta",NA,"8",NA,NA,NA,"Portugal T20 Tri-Series","2",NA,NA,NA
"1273144","6","Ghana","Rwanda","male","2021","2021/08/20","Gahanga International Cricket Stadium. Rwanda","Kigali City","Ghana","bat","R Bakum","EH Dusabemungu","Vicky Prajapati",NA,NA,"Ghana",NA,NA,NA,NA,"Gasana Christian","Ghana tour of Rwanda","4","Awarded",NA,NA
"1273138","6","Malta","Gibraltar","male","2021","2021/08/21","Gucherre Cricket Ground","Albergaria","Gibraltar","field","VP Thamotharam",NA,NA,NA,NA,"Malta","4",NA,NA,NA,NA,"Portugal T20 Tri-Series","4",NA,NA,NA
"1272376","6","Ireland","Zimbabwe","male","2021","2021/09/02","Bready Cricket Club, Magheramason, Bready","Bready","Zimbabwe","field","MR Adair","M Hawthorne","PA Reynolds","AJ Neill","K Gallagher","Ireland","64",NA,NA,NA,"R Black","Zimbabwe tour of Ireland and Scotland","4",NA,NA,NA
"1272094","6","Bangladesh","New Zealand","male","2021","2021/09/03","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Mahmudullah","Masudur Rahman","Tanvir Ahmed","Sharfuddoula","Neeyamur Rashid","Bangladesh","4",NA,NA,NA,"Gazi Sohel","New Zealand tour of Bangladesh","2",NA,NA,NA
"1272095","6","New Zealand","Bangladesh","male","2021","2021/09/05","Shere Bangla National Stadium, Mirpur","Dhaka","New Zealand","bat","AY Patel","Masudur Rahman","Sharfuddoula","Gazi Sohel","Neeyamur Rashid","New Zealand","52",NA,NA,NA,"Tanvir Ahmed","New Zealand tour of Bangladesh","3",NA,NA,NA
"1272097","6","New Zealand","Bangladesh","male","2021","2021/09/10","Shere Bangla National Stadium, Mirpur","Dhaka","New Zealand","bat","TWM Latham","Sharfuddoula","Tanvir Ahmed","Gazi Sohel","Neeyamur Rashid","New Zealand","27",NA,NA,NA,"Masudur Rahman","New Zealand tour of Bangladesh","5",NA,NA,NA
"1275052","6","Spain","Germany","male","2021","2021/09/10","Desert Springs Cricket Ground, Almeria","Almeria","Germany","field",NA,NA,NA,NA,NA,"Germany",NA,"7",NA,NA,NA,"Germany tour of Spain","1",NA,NA,NA
"1275040","6","Uganda","Nigeria","male","2021","2021/09/11","Entebbe Cricket Oval","Entebbe","Uganda","bat",NA,NA,NA,NA,NA,"Uganda","56",NA,NA,NA,NA,"Uganda T20 Tri-Series","4",NA,NA,NA
